type,name,iso_region,municipality,i94port,coordinate1,coordinate2
heliport,Total Rf Heliport,US-PA,Bensalem,00A,-74.93360137939453,40.07080078125
small_airport,Aero B Ranch Airport,US-KS,Leoti,00AA,-101.473911,38.704022
small_airport,Lowell Field,US-AK,Anchor Point,00AK,-151.695999146,59.94919968
small_airport,Epps Airpark,US-AL,Harvest,00AL,-86.77030181884766,34.86479949951172
closed,Newport Hospital & Clinic Heliport,US-AR,Newport,,-91.254898,35.6087
small_airport,Fulton Airport,US-OK,Alex,00AS,-97.8180194,34.9428028
small_airport,Cordes Airport,US-AZ,Cordes,00AZ,-112.16500091552734,34.305599212646484
small_airport,Goldstone /Gts/ Airport,US-CA,Barstow,00CA,-116.888000488,35.350498199499995
small_airport,Williams Ag Airport,US-CA,Biggs,00CL,-121.763427,39.427188
heliport,Kitchen Creek Helibase Heliport,US-CA,Pine Valley,00CN,-116.4597417,32.7273736
closed,Cass Field,US-CO,Briggsdale,,-104.344002,40.622202
small_airport,Grass Patch Airport,US-FL,Bushnell,00FA,-82.21900177001953,28.64550018310547
heliport,Ringhaver Heliport,US-FL,Riverview,00FD,-82.34539794921875,28.846599578857422
small_airport,River Oak Airport,US-FL,Okeechobee,00FL,-80.96920013427734,27.230899810791016
small_airport,Lt World Airport,US-GA,Lithonia,00GA,-84.06829833984375,33.76750183105469
heliport,Caffrey Heliport,US-GA,Hiram,00GE,-84.73390197753906,33.88420104980469
heliport,Kaupulehu Heliport,US-HI,Kailua/Kona,00HI,-155.980233,19.832715
small_airport,Delta Shores Airport,US-ID,Clark Fork,00ID,-116.21399688720703,48.145301818847656
small_airport,Goltl Airport,US-KS,McDonald,00IG,-101.395994,39.724028
heliport,Bailey Generation Station Heliport,US-IN,Chesterton,00II,-87.122802734375,41.644500732421875
small_airport,Hammer Airport,US-IL,Polo,00IL,-89.5604019165039,41.97840118408203
heliport,St Mary Medical Center Heliport,US-IN,Hobart,00IN,-87.2605972290039,41.51139831542969
small_airport,Hayenga's Cant Find Farms Airport,US-IL,Kings,00IS,-89.1229019165039,40.02560043334961
small_airport,Hayden Farm Airport,US-KS,Gardner,00KS,-94.93049621582031,38.72779846191406
small_airport,Robbins Roost Airport,US-KY,Stanford,00KY,-84.61969757080078,37.409400939941406
heliport,Shell Chemical East Site Heliport,US-LA,Gonzales,00LA,-90.980833,30.191944
heliport,Ac & R Components Heliport,US-IL,Chatham,00LL,-89.70559692382812,39.66529846191406
small_airport,Lejeune Airport,US-LA,Esterwood,00LS,-92.42939758300781,30.13629913330078
small_airport,Slater Field,US-MD,Federalsburg,00MD,-75.75379943847656,38.75709915161133
heliport,Dow Chemical Heliport,US-MI,Ludington,00MI,-86.41670227050781,43.94940185546875
small_airport,Battle Lake Municipal Airport,US-MN,Battle Lake,00MN,-95.70030212402344,46.29999923706055
small_airport,Cooper Flying Service Airport,US-MO,Alba,00MO,-94.412399291992,37.202800750732
closed,Sands Ranch Airport,US-MT,Havre,,-109.705002,48.537498
small_airport,Bucks Airport,US-NJ,Bridgeton,00N,-75.1852035522461,39.473201751708984
small_airport,North Raleigh Airport,US-NC,Louisburg,00NC,-78.37139892578125,36.085201263427734
heliport,Colgate-Piscataway Heliport,US-NJ,New Brunswick,00NJ,-74.47460174560547,40.52090072631836
seaplane_base,Cliche Cove Seaplane Base,US-NY,Beekmantown,00NK,-73.3698057,44.8118612
small_airport,Weiss Airfield,US-NY,West Bloomfield,00NY,-77.49970245361328,42.90010070800781
small_airport,Exit 3 Airport,US-OH,Wauseon,00OH,-84.14219665527344,41.59090042114258
heliport,Miami Valley Hospital Heliport,US-OH,Dayton,00OI,-84.1874008178711,39.74530029296875
small_airport,Gull Bay Landing Airport,US-OK,Sandsprings,00OK,-96.217693,36.198598
heliport,Steel Systems Heliport,US-OR,Salem,00OR,-123.12999725341797,44.932899475097656
heliport,R J D Heliport,US-PA,Coatesville,00PA,-75.74690246582031,39.94889831542969
small_airport,Ferrell Field,US-PA,Mercer,00PN,-80.211111,41.2995
closed,Thomas Field,US-PA,Loysville,,-77.365303,40.3778
small_airport,Mc Kenzie Bridge State Airport,US-OR,Mc Kenzie Bridge,00S,-122.088996887,44.183200836199994
small_airport,Flying O Airport,US-SC,Sumter,00SC,-80.26719665527344,34.0093994140625
small_airport,Homan Field,US-SD,Gary,00SD,-96.498897,44.809158
heliport,Sw Region Faa Heliport,US-TX,Fort Worth,00TA,-97.30580139160156,32.826900482177734
heliport,Tcjc-Northeast Campus Heliport,US-TX,Fort Worth,00TE,-97.18949890136719,32.847599029541016
small_airport,Ragsdale Road Airport,US-TN,Manchester,00TN,-85.95359802246094,35.515899658203125
small_airport,Alpine Range Airport,US-TX,Everman,00TS,-97.24199676513672,32.607601165771484
closed,San Jacinto Methodist Hospital Heliport,US-TX,Baytown,,-94.980201,29.7377
closed,Clear Creek Ranch Airport,US-UT,Kanab,,-112.821998,37.247799
small_airport,Vaughan Airport,US-VA,Alton,00VA,-78.9991684,36.57600021
small_airport,Groundhog Mountain Airport,US-VA,Hillsville,00VI,-80.49949645996094,36.663299560546875
small_airport,Lower Granite State Airport,US-WA,Colfax,00W,-117.44300079346,46.673500061035
small_airport,Howell Airport,US-WA,Longbranch,00WA,-122.77200317382812,47.17839813232422
small_airport,Northern Lite Airport,US-WI,Waupaca,00WI,-89.05010223388672,44.304298400878906
small_airport,Hawks Run Airport,US-WA,Asotin,00WN,-117.2490005493164,46.25
small_airport,Lazy J. Aerodrome,US-WV,Beverly,00WV,-79.86609649658203,38.82889938354492
heliport,Mountain View Regional Hospital Heliport,US-WY,Casper,00WY,-106.224443,42.840361
small_airport,L P Askew Farms Airport,US-TX,O'Donnell,00XS,-101.93399810791016,33.03340148925781
small_airport,Purkeypile Airport,US-AK,Purkeypile,01A,-152.27000427246094,62.943599700927734
heliport,Providence Seward Medical Center Heliport,US-AK,Seward,01AK,-149.446249008,60.105873975399994
small_airport,Ware Island Airport,US-AL,Clanton,01AL,-86.51390075683594,32.94599914550781
heliport,Community Hospital of De Queen Heliport,US-AR,De Queen,01AR,-94.35489654541016,34.047298431396484
heliport,Yat Heliport,US-AZ,Camp Verde,01AZ,-111.86499786376953,34.60810089111328
closed,Grant Airport,US-MI,Grant,01C,-85.775001525879,43.341701507568
heliport,Lugo Substation Heliport,US-CA,Hesperia,01CA,-117.370058745,34.368240591699994
small_airport,Swansboro Country Airport,US-CA,Placerville,01CL,-120.73400115966797,38.79990005493164
heliport,Los Angeles County Sheriff's Department Heliport,US-CA,Los Angeles,01CN,-118.15399932861328,34.03779983520508
heliport,St Vincent General Hospital Heliport,US-CO,Leadville,01CO,-106.24600219726562,39.24530029296875
heliport,Berlin Fairgrounds Heliport,US-CT,Berlin,01CT,-72.72750091552734,41.62730026245117
