i94addr,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Count
AK,764725.0,728750.0,1493475,137460.0,166290.0,336228
AL,2448200.0,2715106.0,5163306,352896.0,252541.0,1096154
AR,1400724.0,1482165.0,2882889,154390.0,307753.0,643597
AZ,11137275.0,11360435.0,22497710,1322525.0,3411565.0,5754881
CA,61055672.0,62388681.0,123444353,4617022.0,37059662.0,31753718
CO,7273095.0,7405250.0,14678345,939480.0,1688155.0,3587084
CT,2123435.0,2231661.0,4355096,122546.0,1114250.0,1106528
DC,1598525.0,1762615.0,3361140,129815.0,475585.0,726519
DE,163400.0,196385.0,359785,15315.0,16680.0,75048
FL,15461937.0,16626425.0,32306132,1861951.0,7845566.0,8664477
GA,4101605.0,4453555.0,8555160,522575.0,738925.0,1833611
HI,884035.0,879795.0,1763830,116065.0,506560.0,393445
IA,1772066.0,1831937.0,3604003,197225.0,309829.0,804775
ID,995515.0,998900.0,1994415,131900.0,140630.0,446968
IL,10943864.0,11570526.0,22514390,723049.0,4632600.0,5375987
IN,4399882.0,4697912.0,9097794,447620.0,713623.0,2062597
KS,2820725.0,2920645.0,5741370,323945.0,593225.0,1326815
KY,2262415.0,2386970.0,4649385,280125.0,332440.0,999456
LA,3134990.0,3367985.0,6502975,348855.0,417095.0,1391090
MA,4841101.0,5155944.0,9997045,329190.0,2573815.0,2321003
MD,3139755.0,3420890.0,6560645,320715.0,1148970.0,1451928
ME,157400.0,176960.0,334360,18330.0,46145.0,71861
MI,5217245.0,5667993.0,10885238,490435.0,1214547.0,2371664
MN,3478803.0,3565362.0,7044165,321738.0,1069888.0,1546985
MO,3666310.0,3929660.0,7595970,457265.0,495475.0,1619575
MS,527627.0,613916.0,1141543,67314.0,21233.0,249185
MT,438535.0,467935.0,906470,69270.0,29885.0,196224
NC,7330525.0,7970470.0,15300995,830730.0,1896635.0,3387940
ND,476175.0,471275.0,947450,51495.0,57460.0,198197
NE,1786665.0,1819500.0,3606165,195985.0,356105.0,809416
NH,488855.0,502135.0,990990,55025.0,135995.0,222803
NJ,3423033.0,3507991.0,6931024,146632.0,2327750.0,1795916
NM,2045050.0,2150160.0,4195210,302370.0,445560.0,1179529
NV,5593225.0,5610495.0,11203720,760235.0,2406685.0,2781296
NY,23422799.0,25579256.0,49002055,1019097.0,17186873.0,11377068
OH,5853254.0,6243296.0,12096550,633456.0,873891.0,2651621
OK,3572865.0,3672110.0,7244975,477340.0,755870.0,1729503
OR,3537215.0,3645330.0,7182545,394740.0,928765.0,1665343
PA,5514704.0,5988097.0,11502801,514487.0,1439936.0,2675056
PR,930052.0,1100795.0,2030847,0.0,0.0,997266
RI,974791.0,1011321.0,1986112,87236.0,431507.0,482700
SC,1265291.0,1321685.0,2586976,163334.0,134019.0,565751
SD,613590.0,611900.0,1225490,80435.0,76545.0,259402
TN,5124189.0,5565976.0,10690165,586202.0,900149.0,2322524
TX,34862194.0,35691659.0,70553853,3429512.0,14498054.0,20029645
UT,2586752.0,2532925.0,5119677,193165.0,651811.0,1180933
VA,5802370.0,6015740.0,11818110,1148830.0,1346270.0,2610431
WA,6228025.0,6272510.0,12500535,765630.0,2204810.0,2832381
WI,3444015.0,3621710.0,7065725,305670.0,623435.0,1592148
